"","query_target_gsea.Target.name","query_target_gsea.dangshen_CS","query_target_gsea.huangqi_CS","query_target_gsea.dangshen_NCS","query_target_gsea.huangqi_NCS","query_target_gsea.dangshen_Pvalue","query_target_gsea.huangqi_Pvalue","query_target_gsea.dangshen_FDR","query_target_gsea.huangqi_FDR"
"BRD3","BRD3",0.06189,0.037211,0.907302477964906,0.545510300655229,0.528712871287129,0.601980198019802,0.970712028245748,0.948485430613803
"ATP1A3","ATP1A3",0.33546,-0.154693,5.19635676856731,-2.51239826125439,0,0.0181818181818182,0,0.060954614698149
"NCF4","NCF4",0.29391,0.005727,4.3013421583226,0.0838140469555766,0,0.893360160965795,7.41211885730049e-06,0.985101022020398
"LPL","LPL",-0.258239,0.038079,-3.8050372538715,0.615321190908516,0,0.506276150627615,0.000165410566626965,0.954733052734
"KCNN2","KCNN2",0.45757,-0.069745,6.46035445538501,-0.987332629611357,0,0.531568228105906,0,0.977236055178677
"TH","TH",0.218296,0.016034,3.02566134300471,0.222237026669007,0,0.78544061302682,0.00889611133116425,0.964932177493547
"PRKAA1","PRKAA1",0.2693,0.000359999999999999,4.10647943646365,0.00548953805097257,0,0.993987975951904,1.80202889649966e-05,0.998666837255793
"HDAC6","HDAC6",-0.02263,0.173301,-0.367258939906681,2.59511329808608,0.662447257383966,0.00950570342205323,0.940753050965035,0.0454525432418689
"NFKBIA","NFKBIA",0.203656,-0.037168,2.93261103036489,-0.53044595365414,0.002,0.578,0.0132552478001497,0.952148873793294
"NQO2","NQO2",-0.02087,0.026361,-0.299162932295454,0.387460945767774,0.694505494505494,0.638532110091743,0.948158389618923,0.950666179282562
"AVPR2","AVPR2",0.28333,0.166076,4.45889400634299,2.61361409309786,0,0.0104602510460251,8.46642886717513e-06,0.0427369632475502
"HSP90AA1","HSP90AA1",0.35834,-0.033024,5.44461597238487,-0.509711586398694,0,0.591002044989775,0,0.948715859922875
"AVPR1A","AVPR1A",0.28333,0.166076,4.45240524672379,2.60981065808386,0,0.0162271805273834,8.39406622728474e-06,0.043332795130042
"FABP2","FABP2",0.2463,0.029356,3.68573501918725,0.439295319623471,0,0.592954990215264,0.000262728926375014,0.950071437415749
"WASL","WASL",0.43357,0.186168,6.38469163151199,2.74148412402916,0,0.00193050193050193,0,0.0270523641516189
"GPRC5A","GPRC5A",0.30991,0.02865,4.84019138050136,0.447457271631647,0,0.603696098562628,0,0.950453954451823
"PREP","PREP",0.01454,-0.00835999999999999,0.211118814234506,-0.122275491350376,0.785992217898833,0.8559670781893,0.965733993015549,0.97629357102662
"TACR1","TACR1",-0.265317,-0.169413,-3.97289910881952,-2.5368173042905,0,0.0168776371308017,4.12666694287647e-05,0.0563293693426351
"PIK3CG","PIK3CG",-0.100358,-0.153319,-1.58523966937181,-2.42180355196811,0.334008097165992,0.0263157894736842,0.634882310992068,0.0818396906696509
"HSP90B1","HSP90B1",-0.31813,0.156247,-4.75988517276336,2.22887108516868,0,0.0308641975308642,0,0.146488433536713
"HSD3B1","HSD3B1",0.28885,-0.130636,4.20399039119249,-1.95648151230049,0,0.117988394584139,6.56926922135328e-06,0.308187560940047
"GRIA4","GRIA4",0.25883,-0.032001,3.79332969388818,-0.48293858340043,0,0.583166332665331,0.000151446213567974,0.943888663775242
"POLA1","POLA1",-0.40953,-0.21603,-6.45720268297221,-3.40622053476543,0,0,0,0.00200477495868311
"CSNK1E","CSNK1E",-0.298916,-0.03146,-4.19837299617378,-0.441865990644954,0,0.641547861507128,1.59048621756697e-05,0.943422955330808
"HSD11B2","HSD11B2",0.22814,0.016883,3.27282896500322,0.242198524660951,0.00203252032520325,0.75609756097561,0.00282939989475405,0.964031046642948
"CSNK1G2","CSNK1G2",0.145865,0.154189,1.98652936445521,2.09989357403068,0.098989898989899,0.0666666666666667,0.281481000018477,0.210632719276398
"NOX1","NOX1",-0.25182,0.028282,-3.71910211074992,0.42564862368051,0,0.607421875,0.000309540241641105,0.94904716500588
"CCNA2","CCNA2",-0.35479,-0.038617,-5.41306940838366,-0.589183746282453,0,0.547325102880658,0,0.953934262593979
"GRIK2","GRIK2",-0.28878,0.033686,-4.06596690917344,0.521382995490028,0,0.569327731092437,2.20486176009285e-05,0.948481180706372
"GPR18","GPR18",-0.28826,0.023397,-4.11009229426508,0.356890276898551,0,0.631578947368421,1.51362257136485e-05,0.951191225624895
"GPT2","GPT2",0.263456,0.142581,3.90801318906204,2.11499616068586,0,0.0796812749003984,7.57408032333405e-05,0.202281395975093
"PSMB5","PSMB5",-0.33206,0.026449,-4.84131893377942,0.404912249073724,0,0.62448132780083,0,0.950023741956187
"NTRK2","NTRK2",-0.266878,-0.042738,-4.00989484575188,-0.642146920756839,0,0.528487229862475,2.83738307802889e-05,0.959691556681492
"CCL8","CCL8",0.099033,0.131934,1.53634544329464,2.0467541093942,0.349112426035503,0.0788954635108481,0.677850105417087,0.243107369107189
"TYRO3","TYRO3",0.240864,0.037256,3.47225800217341,0.537076707722917,0,0.564453125,0.000930227667154834,0.947212109054094
"SCN3A","SCN3A",-0.25306,-0.214145,-3.86573587984399,-3.27127167465894,0,0.00201207243460765,0.000104736841594121,0.0037824021960937
"RORA","RORA",0.258952,0.00963,3.63654619177452,0.135237186145651,0,0.839756592292089,0.0003710625415626,0.979716700259834
"RAMP1","RAMP1",0.226754,0.043423,3.40882245124382,0.652783621459203,0,0.540485829959514,0.00132735111413842,0.960040998685262
"SLC5A4","SLC5A4",-0.00838999999999999,0.036486,-0.127134171396952,0.578540887114391,0.850894632206759,0.543259557344064,0.976495308440786,0.950371782382837
"CRHR1","CRHR1",0.039547,0.005673,0.573332666588366,0.0822443223899613,0.565217391304348,0.919254658385093,0.951001686875175,0.985531456516788
"IGF1R","IGF1R",-0.0618,-0.134794,-0.974073178493346,-2.12458284824971,0.484848484848485,0.0666666666666667,0.977382519135527,0.200186895878448
"GJA8","GJA8",0.206247,0.042791,2.98296242888372,0.618888736778538,0.0040650406504065,0.571138211382114,0.0107651273614319,0.955968361314609
"CSF1","CSF1",0.0295,0.019652,0.434829839363657,0.289670372988969,0.598409542743539,0.703777335984095,0.94989458054773,0.959444320981353
"PANX2","PANX2",0.206247,0.042791,3.01390302142839,0.625308121766339,0.00210084033613445,0.565126050420168,0.00932695459377422,0.955287957464625
"BRD2","BRD2",0.06189,0.037211,0.94749605650046,0.569676454329271,0.498054474708171,0.570038910505837,0.971297595644476,0.950001341816931
"CACNB4","CACNB4",0.24932,-0.199072,3.59064130238559,-2.83819905461025,0,0,0.000478310983346357,0.020190234975211
"EHMT2","EHMT2",0.20641,0.00995,3.08459040380011,0.148692769331966,0,0.819838056680162,0.00692761420370158,0.976450828029575
"CYP21A2","CYP21A2",0.0261,0.00694299999999999,0.363798224736109,0.096775903231525,0.672654690618762,0.896207584830339,0.951913997262468,0.986433740811038
"RIPK1","RIPK1",-0.3298,0.006506,-5.07201196743693,0.0958038793968738,0,0.883673469387755,0,0.985862514496582
"ITGB3","ITGB3",0.00615600000000001,-0.161706,0.0933086333721797,-2.37827449960171,0.894291754756871,0.0265654648956357,0.985596394206756,0.0938511478132744
"TNKS2","TNKS2",0.29841,-0.021856,4.75466350308416,-0.347427616770953,0,0.63220675944334,0,0.940759228825277
"ARG2","ARG2",0.214955,-0.138212,3.1435371887118,-2.07119705395096,0,0.0890269151138716,0.00531274793145541,0.2300123605408
"DDC","DDC",0.198092,-0.016493,2.79620182761851,-0.243792879253145,0.00211416490486258,0.749525616698292,0.0222262163043493,0.954281762515964
"HDAC7","HDAC7",-0.36521,-0.00843099999999999,-5.42098925418302,-0.125145424281967,0,0.8715953307393,0,0.97615839833624
"STS","STS",-0.197731,-0.118317,-2.75507206066533,-1.64856224366306,0.00378787878787879,0.240530303030303,0.0272223937528181,0.574841561989515
"ENG","ENG",0.256003,-0.040257,3.785495374491,-0.614244328573492,0,0.547474747474747,0.000153878320055939,0.955572663014821
"ACO1","ACO1",0.31482,-0.046956,4.43528103317772,-0.690142597633933,0,0.535934291581109,8.28781222440772e-06,0.960129354160603
"BIRC5","BIRC5",-0.360991,0.131336,-5.28288689704381,1.73821185788852,0,0.170093457943925,0,0.485859055869462
"CYP2C8","CYP2C8",0.277176,-0.042473,4.10440528421301,-0.659252232072739,0,0.511904761904762,1.78564681562239e-05,0.958091959162216
"HTR2B","HTR2B",0.041445,-0.01055,0.637909314579004,-0.149903566201127,0.524950099800399,0.839679358717435,0.956918728440713,0.971903459223352
"NR0B1","NR0B1",-0.00383999999999998,0.160933,-0.0589825889816987,2.42674898111265,0.926624737945493,0.0248565965583174,0.988038345569001,0.0796091378234803
"EPHA1","EPHA1",-0.285404,-0.21984,-4.27739055082875,-3.29477350946095,0,0,8.66307386589671e-06,0.00341604090661164
"ASIC3","ASIC3",0.23429,-0.0524,3.63386780119257,-0.785668619514252,0,0.521653543307087,0.00037835221462163,0.969236094853955
"PTK2B","PTK2B",-0.27929,-0.211002,-4.18214528863899,-3.15958688171222,0,0,1.57206359728628e-05,0.00589379475794848
"CA4","CA4",0.293832,-0.043725,4.32533282139634,-0.674488466271199,0,0.546332046332046,7.6428462925472e-06,0.959461070858705
"SLC5A1","SLC5A1",0.3987,-0.015076,6.14737996213901,-0.218564243674823,0,0.772727272727273,0,0.960380007956382
"P2RX1","P2RX1",0.26501,0.010495,4.0854755488771,0.161794143185031,0,0.829745596868884,2.33140830526366e-05,0.974045792356384
"GUCY1B3","GUCY1B3",-0.34136,-0.011059,-5.15790642269457,-0.167100091189885,0,0.80952380952381,0,0.969523127771484
"DMD","DMD",0.23228,0.136879,3.45870315348716,2.03816010395286,0,0.088659793814433,0.00100322630232548,0.248401218688633
"OPRL1","OPRL1",0.18511,0.114928,2.60140254050771,1.61511528915493,0.00413223140495868,0.256198347107438,0.0444449018602273,0.602371504144256
"CCL7","CCL7",0.099033,0.131934,1.47220302874746,1.96130213559891,0.357707509881423,0.118577075098814,0.737950739399977,0.300033905039921
"SCN1A","SCN1A",0.203974,-0.063258,2.97195788923663,-0.904254688967578,0,0.522682445759369,0.0112131685470346,0.976209796703634
"MAOA","MAOA",0.212352,-0.163975,3.20545733286704,-2.33363309339242,0,0.0311203319502075,0.00397094990093889,0.108147732869488
"HDAC5","HDAC5",-0.31892,0.15763,-5.10971864693938,2.50760346110391,0,0.0210727969348659,0,0.0606291254290395
"OGDH","OGDH",0.3077,-0.006976,4.6091539944967,-0.103254842363508,0,0.880392156862745,1.01248015318795e-05,0.980112102011666
"RXRG","RXRG",-0.00822000000000001,0.175134,-0.124533114056926,2.61595322921863,0.847422680412371,0.00970873786407767,0.976290008571843,0.0423920439511497
"GUCY1A1","GUCY1A1",-0.122879,0.164179,-2.02827565809126,2.44523695512676,0.129224652087475,0.0181086519114688,0.256793893088392,0.0751100016070663
